Chapter,Word Count
1 Chronicles 12,803
Jeremiah 26,804
Lamentations 1,806
Judges 7,806
Acts 26,807
Exodus 40,809
Genesis 29,810
Joshua 21,811
Hebrews 10,812
Ezekiel 37,812
Jeremiah 27,812
Numbers 10,814
Matthew 23,817
1 Samuel 30,817
Isaiah 49,817
John 16,819
Psalms 18,820
Jeremiah 13,821
2 Samuel 2,822
Luke 14,822
Daniel 8,824
2 Samuel 23,827
Ezra 10,829
Lamentations 2,830
Luke 13,830
2 Chronicles 25,831
1 Chronicles 9,832
Psalms 89,832
1 Kings 15,834
Deuteronomy 5,835
Deuteronomy 22,835
Ezekiel 45,835
Nehemiah 3,836
Deuteronomy 11,836
Genesis 18,836
Esther 2,837
Genesis 44,837
1 Kings 14,838
Ezekiel 18,838
1 Samuel 10,839
Jeremiah 15,839
2 Samuel 22,841
John 10,841
Acts 4,841
Acts 17,841
Isaiah 10,842
Isaiah 5,843
Mark 4,845
Numbers 33,845
Exodus 23,845
Deuteronomy 9,846
Judges 18,847
Genesis 26,848
Matthew 10,849
Exodus 4,849
Genesis 37,849
2 Kings 8,850
Ezekiel 46,853
Ezekiel 21,854
Leviticus 20,855
Isaiah 44,855
Leviticus 22,856
Ezekiel 39,857
Jeremiah 11,858
Numbers 5,860
Luke 3,861
Ezra 7,863
Judges 8,863
2 Kings 5,864
Leviticus 6,866
Mark 1,867
Luke 18,867
Exodus 10,869
Exodus 36,869
Isaiah 14,869
Leviticus 15,870
1 Kings 6,871
1 Corinthians 14,877
Judges 1,877
1 Chronicles 11,877
Acts 8,877
Joshua 15,878
Ezekiel 34,880
Jeremiah 52,881
Daniel 6,883
Mark 5,883
Acts 23,884
Numbers 21,884
2 Kings 6,886
Exodus 14,886
Lamentations 3,889
2 Kings 25,890
John 13,892
Revelation 2,893
1 Kings 16,893
1 Kings 12,894
Mark 15,895
Genesis 47,896
Romans 8,897
Nehemiah 12,898
Acts 20,898
Exodus 8,898
Acts 15,901
Exodus 21,901
Exodus 25,901
Jeremiah 46,902
Ezra 8,904
2 Chronicles 18,905
2 Samuel 17,910
John 9,912
Jeremiah 33,913
Genesis 43,915
Leviticus 19,916
Luke 5,917
1 Samuel 9,918
Daniel 9,919
Leviticus 27,920
Hebrews 11,921
Joshua 24,924
Deuteronomy 31,924
Numbers 32,924
Exodus 9,928
Jeremiah 3,931
Daniel 7,932
1 Samuel 15,933
Numbers 35,933
Ezekiel 44,935
Luke 20,936
Esther 9,937
Deuteronomy 12,942
Nehemiah 7,943
Exodus 30,943
Daniel 5,945
Exodus 26,945
Daniel 3,947
1 Kings 13,947
2 Chronicles 32,947
Judges 19,949
2 Samuel 12,952
Joel 2,954
Deuteronomy 2,954
Numbers 29,957
Jeremiah 17,957
Leviticus 7,960
2 Kings 15,962
Luke 10,963
Isaiah 30,964
Jeremiah 9,968
Acts 16,971
Jeremiah 38,971
Acts 19,972
John 18,974
Joshua 8,979
Luke 4,988
Jeremiah 6,989
Acts 2,990
Genesis 42,990
Ezekiel 32,990
1 Corinthians 7,992
Nehemiah 13,992
Mark 12,992
2 Chronicles 29,992
Exodus 16,992
Exodus 34,992
Leviticus 8,996
Exodus 39,996
John 1,998
Matthew 25,998
Acts 9,1003
John 5,1008
Jeremiah 5,1008
Luke 19,1009
Numbers 11,1009
Jeremiah 22,1010
Matthew 5,1011
Luke 24,1016
Genesis 30,1020
2 Chronicles 20,1021
Acts 5,1025
2 Chronicles 34,1026
Ezekiel 33,1026
2 Kings 10,1030
2 Kings 19,1030
Isaiah 37,1033
Judges 16,1034
Ezekiel 48,1034
Numbers 15,1037
Exodus 32,1038
John 19,1039
Acts 21,1039
Joshua 22,1040
Matthew 24,1042
Leviticus 11,1048
Acts 10,1050
Genesis 19,1051
Numbers 18,1053
John 7,1054
Numbers 31,1055
2 Samuel 13,1058
2 Samuel 15,1058
Luke 23,1059
Mark 9,1061
Luke 2,1061
Jeremiah 29,1064
Acts 27,1071
2 Samuel 18,1074
Judges 11,1080
Jeremiah 4,1080
Numbers 1,1081
Jeremiah 36,1086
2 Samuel 3,1090
Matthew 21,1092
2 Samuel 14,1095
1 Samuel 2,1098
1 Kings 11,1100
Joshua 10,1105
John 4,1108
Matthew 12,1111
Leviticus 4,1116
Ezekiel 36,1118
Numbers 3,1121
Jeremiah 7,1121
Mark 10,1122
John 12,1122
2 Kings 9,1124
2 Kings 17,1132
Numbers 14,1135
2 Kings 18,1140
Leviticus 16,1142
Luke 7,1142
Luke 6,1147
Judges 20,1152
Genesis 27,1153
Exodus 28,1159
Judges 6,1160
Numbers 22,1163
John 11,1165
1 Chronicles 6,1172
Leviticus 23,1173
1 Kings 7,1183
Mark 6,1186
Deuteronomy 1,1194
Psalms 78,1197
1 Corinthians 15,1198
Jeremiah 44,1210
Ezekiel 23,1212
1 Samuel 20,1213
Leviticus 26,1222
2 Kings 4,1227
2 Chronicles 6,1228
Acts 13,1229
Jeremiah 25,1247
Numbers 4,1251
Deuteronomy 32,1257
Numbers 26,1260
Jeremiah 2,1262
Matthew 13,1266
1 Samuel 25,1272
Numbers 16,1274
Daniel 4,1275
Luke 11,1277
1 Kings 2,1278
1 Kings 20,1278
2 Kings 23,1302
1 Kings 22,1305
Ezekiel 40,1309
1 Kings 18,1310
Matthew 27,1312
1 Kings 1,1313
Jeremiah 49,1313
Genesis 41,1315
Nehemiah 9,1316
John 8,1316
